id,hist_current,hist_xday,hist_30dpd,hist_60dpd,hist_npl,percentage,all_hist_current,all_hist_xday,all_hist_30dpd,all_hist_60dpd,all_hist_npl,all_hist_percentage,STATUS
0,16,0,0,0,0,1.0,16,0,0,0,0,1.0,1
1,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
2,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
3,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
4,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
5,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
6,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
7,22,0,0,0,0,1.0,22,0,0,0,0,1.0,1
8,25,5,0,0,0,0.8333,49,10,0,0,0,0.8305,1
9,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,1
10,1,0,0,0,0,1.0,1,0,0,0,0,1.0,0
11,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
12,1,0,0,0,0,1.0,1,0,0,0,0,1.0,0
13,32,10,0,0,0,0.7619,37,10,0,0,0,0.7872,1
14,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
15,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
16,32,10,0,0,0,0.7619,37,10,0,0,0,0.7872,1
17,2,1,0,0,0,0.6667,4,1,0,0,0,0.8,0
18,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,0
19,9,0,0,0,0,1.0,12,0,0,0,0,1.0,1
20,5,0,0,0,0,1.0,7,0,0,0,0,1.0,0
21,5,0,0,0,0,1.0,7,0,0,0,0,1.0,0
22,5,0,0,0,0,1.0,7,0,0,0,0,1.0,0
23,0,1,0,0,0,0.0,0,1,0,0,0,0.0,1
24,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
25,1,1,0,0,0,0.5,3,8,0,0,0,0.2727,1
26,5,0,0,0,0,1.0,8,0,0,0,0,1.0,0
27,16,0,0,0,0,1.0,16,0,0,0,0,1.0,1
28,1,2,0,0,0,0.3333,1,2,0,0,0,0.3333,0
29,25,5,0,0,0,0.8333,49,10,0,0,0,0.8305,0
30,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
31,4,0,0,0,0,1.0,4,0,0,0,0,1.0,1
32,4,0,0,0,0,1.0,4,0,0,0,0,1.0,1
33,1,4,1,0,0,0.1667,6,7,1,0,0,0.4286,0
34,1,4,1,0,0,0.1667,6,7,1,0,0,0.4286,0
35,1,4,1,0,0,0.1667,6,7,1,0,0,0.4286,0
36,1,4,1,0,0,0.1667,6,7,1,0,0,0.4286,0
37,1,0,0,0,0,1.0,1,0,0,0,0,1.0,0
38,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
39,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
40,5,0,0,0,0,1.0,13,1,0,0,0,0.9286,1
41,1,1,0,0,0,0.5,1,1,0,0,0,0.5,1
42,1,1,0,0,0,0.5,1,1,0,0,0,0.5,1
43,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
44,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
45,16,0,0,0,0,1.0,16,0,0,0,0,1.0,1
46,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
47,3,1,0,0,0,0.75,3,1,0,0,0,0.75,1
48,4,0,0,0,0,1.0,4,0,0,0,0,1.0,1
49,4,0,0,0,0,1.0,4,0,0,0,0,1.0,1
50,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
51,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
52,6,0,0,0,0,1.0,6,0,0,0,0,1.0,1
53,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
54,0,2,0,0,0,0.0,0,2,0,0,0,0.0,0
55,1,0,0,0,0,1.0,1,0,0,0,0,1.0,1
56,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,0
57,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,0
58,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,1
59,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,0
60,22,16,0,0,0,0.5789,41,21,0,0,0,0.6613,0
61,5,0,0,0,0,1.0,7,0,0,0,0,1.0,0
62,32,10,0,0,0,0.7619,37,10,0,0,0,0.7872,1
63,16,0,0,0,0,1.0,16,0,0,0,0,1.0,1
64,6,0,0,0,0,1.0,6,0,0,0,0,1.0,0
